YEAR,United Arab Emirates,Bangladesh,Canada,Switzerland,China,Denmark,Spain,France,United Kingdom,Ghana,Greenland,"Hong Kong SAR, China",India,Iceland,Japan,Mexico,Netherlands,Norway,New Zealand,United States
1960,0.119035253,0.294804978,10.77084729,3.664365979,1.170381372,6.502683093,1.606592711,5.817437681,11.15075916,0.220509764,6.882676923,0.960982311,0.267634185,6.913193297,2.516537519,1.670990141,6.39917962,3.658563698,4.867069736,15.99977916
1961,0.109141236,0.296923721,10.62789765,3.751824984,0.836046901,6.881260155,1.74622172,5.952751834,11.15413892,0.196514461,8.70504451,1.064878003,0.283703709,6.103849097,2.981979388,1.675961329,6.520357665,3.698694388,4.863166095,15.68125552
1962,0.163533063,0.317335557,11.13062748,4.333572069,0.661428164,7.945107361,1.935781533,6.235408683,11.14292839,0.20274362,7.543542857,1.115011194,0.305850958,6.57485552,3.059736351,1.587485025,7.060853797,3.868626059,4.516526591,16.0139375
1963,0.175833134,0.354673777,11.1321024,5.111295488,0.640001899,8.6898313,1.879509312,6.87529322,11.25485346,0.236090769,9.066758242,1.242378614,0.321794972,7.031677377,3.359320776,1.600528397,7.623924888,4.086515969,4.830336124,16.48276215
1964,0.132824781,0.354201511,12.3053704,4.865282038,0.625646054,9.146392939,2.037725257,7.013993128,11.26583889,0.219304424,8.387287234,1.20538264,0.308168699,6.927178635,3.673035072,1.736658362,7.987673248,4.382327935,5.069180011,16.96811858
1965,0.146819968,0.360641123,12.81400147,5.185731956,0.665524211,9.316576004,2.225610193,7.062750798,11.45615951,0.220319265,8.793316327,1.336178604,0.332527211,7.265879991,3.912905535,1.705355151,8.174053896,4.407489804,5.212262974,17.45172525
1966,0.160455318,0.355616082,12.93491815,5.327620031,0.710891382,10.44901166,2.407735709,6.899140799,11.31896078,0.181470373,9.597580247,1.42340092,0.337039502,7.650130388,4.206264706,1.777925255,8.321531816,5.2127318,5.237592586,18.12107301
1967,5.39992107,0.365431277,13.8103546,5.434600874,0.574162147,10.14930055,2.647227559,7.326518931,10.78410455,0.183963143,9.977040573,1.627238638,0.330973865,7.269387324,4.863557846,1.918848664,8.476054637,5.10729497,5.007613524,18.59831788
1968,6.806841267,0.406076983,14.6326452,5.937701579,0.605451997,10.96131479,2.93409754,7.51593184,10.99348823,0.211953346,12.50497696,1.631620691,0.352457491,7.916823831,5.566593157,1.940637003,8.920252219,5.539193646,4.907836687,19.08938916
1969,101.0516627,0.3827899,14.61864861,6.208288851,0.725149509,12.14297486,2.897101868,8.014840647,11.34267041,0.198413618,9.065412027,2.008171019,0.351187328,6.220785862,6.338523165,2.047987318,9.00064816,5.775392981,5.147130698,19.85794566
1970,65.01695421,0.378902982,16.01414875,6.519570443,0.942934535,12.59965647,3.457969859,8.449429419,11.7323973,0.30056362,8.219137931,2.122025006,0.351488941,6.798114832,7.368088744,2.215287211,10.88580887,7.227535069,5.050328032,21.11125227
1971,76.34765075,0.352141858,16.05533218,6.750434987,1.042239697,11.49722715,3.75994979,8.829912531,11.82303629,0.255820749,9.94440678,2.264397202,0.362529744,7.152587604,7.545561028,2.380327514,10.67681011,6.968451763,5.278783386,20.98020348
1972,70.86397119,0.052672148,17.15406592,6.863739819,1.080676637,11.9488346,4.190966866,9.105899937,11.56235418,0.262620142,11.46412008,2.251635464,0.37489918,7.101254202,7.961462468,2.422006072,11.83880977,7.482238767,5.577719274,21.74864198
1973,77.61933131,0.067335605,16.96713528,7.334759289,1.098195691,11.80161179,4.440462955,9.709107815,11.74552694,0.260726855,11.37518367,2.191589259,0.37719344,8.255702558,8.472958752,2.561821014,12.32545243,7.706917012,6.14695843,22.51058213
1974,67.01703708,0.067800489,17.09800561,6.541311271,1.097367111,10.91676863,4.89498864,9.312382375,10.98359286,0.301285841,11.26028283,2.439194116,0.381064002,8.093643853,8.313879441,2.674078029,11.84534918,6.949826335,6.203229487,21.50293038
1975,56.66685087,0.069502399,17.16020892,6.168137541,1.250124095,11.02376646,5.079852145,8.28681204,10.73605364,0.275044848,10.20254032,2.469816882,0.404751114,7.418820162,7.77267069,2.759233889,11.19687488,7.404803169,5.923148779,20.40222407
1976,62.15692671,0.07773884,17.02862407,6.423427895,1.285283136,11.85490289,5.491294603,9.325010842,10.65454202,0.238734053,4.426961771,2.768511952,0.413696986,7.745282847,8.059719431,3.006724694,12.31905294,7.281807791,6.184562611,21.15761537
1977,52.74519001,0.079116682,17.20283524,6.540985491,1.388842897,12.15458515,5.358942976,8.828303001,10.76186851,0.288902589,14.62346154,3.104833868,0.427724728,8.597153278,8.213496439,3.067406196,11.85592809,7.684619256,6.506157298,21.53248401
1978,53.63731646,0.079755394,17.35562946,6.720778708,1.52920111,11.97392623,5.438594324,9.249256951,10.76729499,0.280471841,7.974979675,3.375132726,0.424114081,8.612332634,7.866857247,3.45220081,12.23297754,8.57238638,5.769779892,21.97300469
