DATE,PRCP,TMAX,TMIN,RAIN
01-01-2016, -   ,46.00,28.00,FALSE
02-01-2016, -   ,42.00,25.00,FALSE
03-01-2016,0.02,40.00,31.00,TRUE
04-01-2016,0.15,38.00,35.00,TRUE
05-01-2016,0.11,46.00,36.00,TRUE
06-01-2016, -   ,53.00,37.00,FALSE
07-01-2016, -   ,44.00,34.00,FALSE
08-01-2016, -   ,48.00,36.00,FALSE
09-01-2016, -   ,49.00,30.00,FALSE
10-01-2016, -   ,52.00,38.00,FALSE
11-01-2016,0.16,47.00,35.00,TRUE
12-01-2016,0.51,48.00,40.00,TRUE
13-01-2016,0.75,54.00,41.00,TRUE
14-01-2016, -   ,48.00,36.00,FALSE
15-01-2016,0.05,47.00,33.00,TRUE
16-01-2016,0.4,52.00,42.00,TRUE
17-01-2016,0.33,49.00,43.00,TRUE
18-01-2016,0.06,52.00,43.00,TRUE
19-01-2016,0.49,47.00,42.00,TRUE
20-01-2016,0.27,50.00,40.00,TRUE
21-01-2016,1.15,53.00,45.00,TRUE
22-01-2016,0.26,55.00,44.00,TRUE
23-01-2016,0.77,46.00,43.00,TRUE
24-01-2016, -   ,50.00,37.00,FALSE
25-01-2016, -   ,55.00,38.00,FALSE
26-01-2016,0.3,56.00,46.00,TRUE
27-01-2016,0.82,58.00,49.00,TRUE
28-01-2016,0.61,56.00,46.00,TRUE
29-01-2016,0.19,49.00,41.00,TRUE
30-01-2016,0.05,46.00,38.00,TRUE
31-01-2016, -   ,45.00,37.00,FALSE
01-02-2016,0.01,45.00,38.00,TRUE
02-02-2016,0.01,50.00,35.00,TRUE
03-02-2016,0.53,47.00,39.00,TRUE
04-02-2016,0.33,49.00,42.00,TRUE
05-02-2016,0.14,52.00,39.00,TRUE
06-02-2016, -   ,48.00,39.00,FALSE
07-02-2016, -   ,52.00,34.00,FALSE
08-02-2016, -   ,59.00,39.00,FALSE
09-02-2016, -   ,63.00,38.00,FALSE
10-02-2016,0.13,56.00,46.00,TRUE
11-02-2016,0.48,55.00,45.00,TRUE
12-02-2016,0.8,57.00,47.00,TRUE
13-02-2016,0.49,50.00,43.00,TRUE
14-02-2016,0.15,53.00,47.00,TRUE
15-02-2016,0.46,54.00,49.00,TRUE
16-02-2016, -   ,54.00,48.00,FALSE
17-02-2016,0.47,63.00,47.00,TRUE
18-02-2016,0.12,51.00,44.00,TRUE
19-02-2016,0.4,50.00,39.00,TRUE
20-02-2016, -   ,51.00,38.00,FALSE
21-02-2016,0.05,50.00,35.00,TRUE
22-02-2016,0.17,51.00,36.00,TRUE
23-02-2016, -   ,58.00,34.00,FALSE
24-02-2016,0.02,57.00,43.00,TRUE
25-02-2016, -   ,62.00,39.00,FALSE
26-02-2016,0.17,57.00,44.00,TRUE
27-02-2016,0.13,56.00,47.00,TRUE
28-02-2016,0.82,50.00,40.00,TRUE
29-02-2016,0.09,53.00,42.00,TRUE
01-03-2016,0.81,57.00,43.00,TRUE
02-03-2016,0.28,54.00,45.00,TRUE
03-03-2016,0.03,58.00,48.00,TRUE
04-03-2016,0.16,55.00,42.00,TRUE
05-03-2016,0.19,64.00,47.00,TRUE
06-03-2016,0.16,59.00,43.00,TRUE
